date,sub_category,top_category,visits
2018-12-31,"","",3
2018-12-31,All Other General Merchandise Stores,"General Merchandise Stores, including Warehouse Clubs and Supercenters",29
2018-12-31,Amusement and Theme Parks,Amusement Parks and Arcades,2
2018-12-31,Art Dealers,Other Miscellaneous Store Retailers,20
2018-12-31,Automobile and Other Motor Vehicle Merchant Wholesalers,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,2
2018-12-31,"Automotive Body, Paint, and Interior Repair and Maintenance",Automotive Repair and Maintenance,0
2018-12-31,Automotive Parts and Accessories Stores,"Automotive Parts, Accessories, and Tire Stores",9
2018-12-31,Beauty Salons,Personal Care Services,6
2018-12-31,"Beer, Wine, and Liquor Stores","Beer, Wine, and Liquor Stores",18
2018-12-31,Boat Dealers,Other Motor Vehicle Dealers,13
2018-12-31,Book Stores,Book Stores and News Dealers,5
2018-12-31,Bowling Centers,Other Amusement and Recreation Industries,14
2018-12-31,Breweries,Beverage Manufacturing,9
2018-12-31,Child Day Care Services,Child Day Care Services,0
2018-12-31,"Colleges, Universities, and Professional Schools","Colleges, Universities, and Professional Schools",6
2018-12-31,Commercial Screen Printing,Printing and Related Support Activities,0
2018-12-31,Confectionery and Nut Stores,Specialty Food Stores,0
2018-12-31,Drinking Places (Alcoholic Beverages),Drinking Places (Alcoholic Beverages),3
2018-12-31,Elementary and Secondary Schools,Elementary and Secondary Schools,0
2018-12-31,Exam Preparation and Tutoring,Other Schools and Instruction,0
2018-12-31,Family Clothing Stores,Clothing Stores,0
2018-12-31,Fire Protection,"Justice, Public Order, and Safety Activities",4
2018-12-31,Fitness and Recreational Sports Centers,Other Amusement and Recreation Industries,13
2018-12-31,Florists,Florists,36
2018-12-31,Food (Health) Supplement Stores,Health and Personal Care Stores,2
2018-12-31,Freestanding Ambulatory Surgical and Emergency Centers,Outpatient Care Centers,0
2018-12-31,Full-Service Restaurants,Restaurants and Other Eating Places,230
2018-12-31,Gasoline Stations with Convenience Stores,Gasoline Stations,47
2018-12-31,General Automotive Repair,Automotive Repair and Maintenance,0
2018-12-31,General Medical and Surgical Hospitals,General Medical and Surgical Hospitals,17
2018-12-31,"Gift, Novelty, and Souvenir Stores","Office Supplies, Stationery, and Gift Stores",42
2018-12-31,Golf Courses and Country Clubs,Other Amusement and Recreation Industries,56
2018-12-31,Hardware Stores,Building Material and Supplies Dealers,4
2018-12-31,"Hobby, Toy, and Game Stores","Sporting Goods, Hobby, and Musical Instrument Stores",6
2018-12-31,Home Health Care Services,Home Health Care Services,5
2018-12-31,Hotels (except Casino Hotels) and Motels,Traveler Accommodation,405
2018-12-31,Hydroelectric Power Generation,"Electric Power Generation, Transmission and Distribution",1
2018-12-31,Insurance Agencies and Brokerages,"Agencies, Brokerages, and Other Insurance Related Activities",0
2018-12-31,Jewelry Stores,"Jewelry, Luggage, and Leather Goods Stores",0
2018-12-31,Lessors of Miniwarehouses and Self-Storage Units,Lessors of Real Estate,0
2018-12-31,Limited-Service Restaurants,Restaurants and Other Eating Places,44
2018-12-31,Malls,Lessors of Real Estate,166
2018-12-31,Medical Laboratories,Medical and Diagnostic Laboratories,2
2018-12-31,Motion Picture Theaters (except Drive-Ins),Motion Picture and Video Industries,22
2018-12-31,Museums,"Museums, Historical Sites, and Similar Institutions",0
2018-12-31,Musical Instrument and Supplies Stores,"Sporting Goods, Hobby, and Musical Instrument Stores",3
2018-12-31,Nature Parks and Other Similar Institutions,"Museums, Historical Sites, and Similar Institutions",125
2018-12-31,Offices of Dentists,Offices of Dentists,7
2018-12-31,Offices of Mental Health Practitioners (except Physicians),Offices of Other Health Practitioners,1
2018-12-31,Offices of Physicians (except Mental Health Specialists),Offices of Physicians,10
2018-12-31,Offices of Real Estate Agents and Brokers,Offices of Real Estate Agents and Brokers,3
2018-12-31,Optical Goods Stores,Health and Personal Care Stores,64
2018-12-31,Other Clothing Stores,Clothing Stores,1
2018-12-31,Other Individual and Family Services,Individual and Family Services,14
2018-12-31,Other Personal Care Services,Personal Care Services,1
2018-12-31,Paint and Wallpaper Stores,Building Material and Supplies Dealers,2
2018-12-31,Pet and Pet Supplies Stores,Other Miscellaneous Store Retailers,13
2018-12-31,Pet Care (except Veterinary) Services,Other Personal Services,1
2018-12-31,"Photography Studios, Portrait","Other Professional, Scientific, and Technical Services",0
2018-12-31,Regulation and Administration of Transportation Programs,Administration of Economic Programs,3
2018-12-31,Religious Organizations,Religious Organizations,20
2018-12-31,RV (Recreational Vehicle) Parks and Campgrounds,RV (Recreational Vehicle) Parks and Recreational Camps,8
2018-12-31,"Sewing, Needlework, and Piece Goods Stores","Sporting Goods, Hobby, and Musical Instrument Stores",13
2018-12-31,Shoe Stores,Shoe Stores,8
2018-12-31,Snack and Nonalcoholic Beverage Bars,Restaurants and Other Eating Places,114
2018-12-31,Sporting Goods Stores,"Sporting Goods, Hobby, and Musical Instrument Stores",59
2018-12-31,Supermarkets and Other Grocery (except Convenience) Stores,Grocery Stores,110
2018-12-31,Tobacco Stores,Other Miscellaneous Store Retailers,0
2018-12-31,Used Merchandise Stores,Used Merchandise Stores,41
2018-12-31,Veterinary Services,"Other Professional, Scientific, and Technical Services",0
2018-12-31,Video Tape and Disc Rental,Consumer Goods Rental,0
2018-12-31,Wineries,Beverage Manufacturing,3
2018-12-31,Wireless Telecommunications Carriers (except Satellite),Wired and Wireless Telecommunications Carriers,5
2018-12-31,Women's Clothing Stores,Clothing Stores,6
2018-12-31,Women's Handbag and Purse Manufacturing,Other Leather and Allied Product Manufacturing,0
2019-01-01,"","",2
2019-01-01,All Other General Merchandise Stores,"General Merchandise Stores, including Warehouse Clubs and Supercenters",23
2019-01-01,Amusement and Theme Parks,Amusement Parks and Arcades,2
2019-01-01,Art Dealers,Other Miscellaneous Store Retailers,14
2019-01-01,Automobile and Other Motor Vehicle Merchant Wholesalers,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,1
2019-01-01,"Automotive Body, Paint, and Interior Repair and Maintenance",Automotive Repair and Maintenance,0
2019-01-01,Automotive Parts and Accessories Stores,"Automotive Parts, Accessories, and Tire Stores",4
2019-01-01,Beauty Salons,Personal Care Services,12
2019-01-01,"Beer, Wine, and Liquor Stores","Beer, Wine, and Liquor Stores",14
2019-01-01,Boat Dealers,Other Motor Vehicle Dealers,10
2019-01-01,Book Stores,Book Stores and News Dealers,5
2019-01-01,Bowling Centers,Other Amusement and Recreation Industries,1
2019-01-01,Breweries,Beverage Manufacturing,1
2019-01-01,Child Day Care Services,Child Day Care Services,0
2019-01-01,"Colleges, Universities, and Professional Schools","Colleges, Universities, and Professional Schools",15
2019-01-01,Commercial Screen Printing,Printing and Related Support Activities,0
2019-01-01,Confectionery and Nut Stores,Specialty Food Stores,4
2019-01-01,Drinking Places (Alcoholic Beverages),Drinking Places (Alcoholic Beverages),5
2019-01-01,Elementary and Secondary Schools,Elementary and Secondary Schools,1
2019-01-01,Exam Preparation and Tutoring,Other Schools and Instruction,0
2019-01-01,Family Clothing Stores,Clothing Stores,6
2019-01-01,Fire Protection,"Justice, Public Order, and Safety Activities",0
2019-01-01,Fitness and Recreational Sports Centers,Other Amusement and Recreation Industries,5
2019-01-01,Florists,Florists,22
2019-01-01,Food (Health) Supplement Stores,Health and Personal Care Stores,0
2019-01-01,Freestanding Ambulatory Surgical and Emergency Centers,Outpatient Care Centers,1
2019-01-01,Full-Service Restaurants,Restaurants and Other Eating Places,166
2019-01-01,Gasoline Stations with Convenience Stores,Gasoline Stations,44
2019-01-01,General Automotive Repair,Automotive Repair and Maintenance,1
2019-01-01,General Medical and Surgical Hospitals,General Medical and Surgical Hospitals,9
2019-01-01,"Gift, Novelty, and Souvenir Stores","Office Supplies, Stationery, and Gift Stores",32
2019-01-01,Golf Courses and Country Clubs,Other Amusement and Recreation Industries,34
