measure_date,visits
2018-12-31,8
2019-01-01,8
2019-01-02,8
2019-01-03,3
2019-01-04,6
2019-01-05,3
2019-01-06,6
2019-01-07,0
2019-01-08,7
2019-01-09,9
2019-01-10,7
2019-01-11,4
2019-01-12,3
2019-01-13,12
2019-01-14,0
2019-01-15,1
2019-01-16,2
2019-01-17,3
2019-01-18,9
2019-01-19,13
2019-01-20,10
2019-01-21,5
2019-01-22,0
2019-01-23,0
2019-01-24,0
2019-01-25,3
2019-01-26,11
2019-01-27,7
2019-01-28,4
2019-01-29,3
2019-01-30,4
2019-01-31,2
2019-02-01,6
2019-02-02,8
2019-02-03,9
2019-02-04,7
2019-02-05,5
2019-02-06,5
2019-02-07,5
2019-02-08,13
2019-02-09,14
2019-02-10,7
2019-02-11,10
2019-02-12,2
2019-02-13,8
2019-02-14,2
2019-02-15,6
2019-02-16,23
2019-02-17,18
2019-02-18,8
2019-02-19,6
2019-02-20,10
2019-02-21,16
2019-02-22,11
2019-02-23,16
2019-02-24,8
2019-02-25,3
2019-02-26,7
2019-02-27,3
2019-02-28,10
2019-03-01,18
2019-03-02,7
2019-03-03,11
2019-03-04,3
2019-03-05,8
2019-03-06,9
2019-03-07,5
2019-03-08,22
2019-03-09,24
2019-03-10,23
2019-03-11,19
2019-03-12,39
2019-03-13,3
2019-03-14,10
2019-03-15,25
2019-03-16,25
2019-03-17,34
2019-03-18,19
2019-03-19,19
2019-03-20,23
2019-03-21,28
2019-03-22,20
2019-03-23,28
2019-03-24,26
2019-03-25,29
2019-03-26,28
2019-03-27,20
2019-03-28,24
2019-03-29,12
2019-03-30,19
2019-03-31,22
2019-04-01,7
2019-04-02,16
2019-04-03,7
2019-04-04,20
2019-04-05,15
2019-04-06,36
2019-04-07,23
2019-04-08,12
2019-04-09,6
2019-04-10,4
2019-04-11,13
2019-04-12,19
2019-04-13,12
2019-04-14,41
2019-04-15,12
2019-04-16,14
2019-04-17,8
2019-04-18,21
2019-04-19,38
2019-04-20,51
2019-04-21,34
2019-04-22,10
