safegraph_place_id,measure_date,day_total_visits,location_name
sg:ff7040f067754b8a95b184aaaf6f39b4,2018-12-31,0,Twin Sisters Trail
sg:a5f0afb0a893464fa44bb741f2ca84c0,2018-12-31,8,Glacier Basin Campground
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-01-01,8,Glacier Basin Campground
sg:ff7040f067754b8a95b184aaaf6f39b4,2019-01-01,0,Twin Sisters Trail
sg:ff7040f067754b8a95b184aaaf6f39b4,2019-01-02,0,Twin Sisters Trail
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-01-02,8,Glacier Basin Campground
sg:ff7040f067754b8a95b184aaaf6f39b4,2019-01-03,0,Twin Sisters Trail
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-01-03,3,Glacier Basin Campground
sg:ff7040f067754b8a95b184aaaf6f39b4,2019-01-04,1,Twin Sisters Trail
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-01-04,5,Glacier Basin Campground
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-01-05,3,Glacier Basin Campground
sg:ff7040f067754b8a95b184aaaf6f39b4,2019-01-05,0,Twin Sisters Trail
sg:ff7040f067754b8a95b184aaaf6f39b4,2019-01-06,0,Twin Sisters Trail
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-01-06,6,Glacier Basin Campground
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-01-07,0,Glacier Basin Campground
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-01-08,7,Glacier Basin Campground
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-01-09,9,Glacier Basin Campground
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-01-10,7,Glacier Basin Campground
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-01-11,4,Glacier Basin Campground
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-01-12,3,Glacier Basin Campground
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-01-13,12,Glacier Basin Campground
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-01-14,0,Glacier Basin Campground
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-01-14,0,Emerald Lake Trail
sg:560ab62c4c534c1286325ae6fa7b0310,2019-01-14,0,Bear Lake
sg:c0a5d4ae7a88442e99008a4177f73984,2019-01-14,0,Hollowell Park Trailhead
sg:c0a5d4ae7a88442e99008a4177f73984,2019-01-15,0,Hollowell Park Trailhead
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-01-15,0,Glacier Basin Campground
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-01-15,1,Emerald Lake Trail
sg:560ab62c4c534c1286325ae6fa7b0310,2019-01-15,0,Bear Lake
sg:560ab62c4c534c1286325ae6fa7b0310,2019-01-16,0,Bear Lake
sg:c0a5d4ae7a88442e99008a4177f73984,2019-01-16,0,Hollowell Park Trailhead
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-01-16,1,Emerald Lake Trail
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-01-16,1,Glacier Basin Campground
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-01-17,1,Emerald Lake Trail
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-01-17,0,Glacier Basin Campground
sg:560ab62c4c534c1286325ae6fa7b0310,2019-01-17,2,Bear Lake
sg:c0a5d4ae7a88442e99008a4177f73984,2019-01-17,0,Hollowell Park Trailhead
sg:c0a5d4ae7a88442e99008a4177f73984,2019-01-18,0,Hollowell Park Trailhead
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-01-18,6,Glacier Basin Campground
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-01-18,2,Emerald Lake Trail
sg:560ab62c4c534c1286325ae6fa7b0310,2019-01-18,1,Bear Lake
sg:560ab62c4c534c1286325ae6fa7b0310,2019-01-19,1,Bear Lake
sg:c0a5d4ae7a88442e99008a4177f73984,2019-01-19,2,Hollowell Park Trailhead
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-01-19,6,Glacier Basin Campground
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-01-19,4,Emerald Lake Trail
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-01-20,1,Emerald Lake Trail
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-01-20,8,Glacier Basin Campground
sg:560ab62c4c534c1286325ae6fa7b0310,2019-01-20,1,Bear Lake
sg:c0a5d4ae7a88442e99008a4177f73984,2019-01-20,0,Hollowell Park Trailhead
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-01-21,4,Emerald Lake Trail
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-01-21,1,Glacier Basin Campground
sg:560ab62c4c534c1286325ae6fa7b0310,2019-01-21,0,Bear Lake
sg:560ab62c4c534c1286325ae6fa7b0310,2019-01-22,0,Bear Lake
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-01-22,0,Glacier Basin Campground
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-01-22,0,Emerald Lake Trail
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-01-23,0,Emerald Lake Trail
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-01-23,0,Glacier Basin Campground
sg:560ab62c4c534c1286325ae6fa7b0310,2019-01-23,0,Bear Lake
sg:560ab62c4c534c1286325ae6fa7b0310,2019-01-24,0,Bear Lake
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-01-24,0,Glacier Basin Campground
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-01-24,0,Emerald Lake Trail
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-01-25,1,Glacier Basin Campground
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-01-25,1,Emerald Lake Trail
sg:560ab62c4c534c1286325ae6fa7b0310,2019-01-25,1,Bear Lake
sg:560ab62c4c534c1286325ae6fa7b0310,2019-01-26,3,Bear Lake
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-01-26,5,Glacier Basin Campground
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-01-26,3,Emerald Lake Trail
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-01-27,2,Emerald Lake Trail
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-01-27,5,Glacier Basin Campground
sg:560ab62c4c534c1286325ae6fa7b0310,2019-01-27,0,Bear Lake
sg:4a101b32337b489e8fd0c61572c1c970,2019-01-28,0,Upper Beaver Meadows
sg:560ab62c4c534c1286325ae6fa7b0310,2019-01-28,0,Bear Lake
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-01-28,3,Glacier Basin Campground
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-01-28,1,Emerald Lake Trail
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-01-29,1,Emerald Lake Trail
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-01-29,1,Glacier Basin Campground
sg:4a101b32337b489e8fd0c61572c1c970,2019-01-29,0,Upper Beaver Meadows
sg:560ab62c4c534c1286325ae6fa7b0310,2019-01-29,1,Bear Lake
sg:560ab62c4c534c1286325ae6fa7b0310,2019-01-30,0,Bear Lake
sg:4a101b32337b489e8fd0c61572c1c970,2019-01-30,0,Upper Beaver Meadows
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-01-30,1,Emerald Lake Trail
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-01-30,3,Glacier Basin Campground
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-01-31,1,Glacier Basin Campground
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-01-31,1,Emerald Lake Trail
sg:560ab62c4c534c1286325ae6fa7b0310,2019-01-31,0,Bear Lake
sg:4a101b32337b489e8fd0c61572c1c970,2019-01-31,0,Upper Beaver Meadows
sg:4a101b32337b489e8fd0c61572c1c970,2019-02-01,1,Upper Beaver Meadows
sg:560ab62c4c534c1286325ae6fa7b0310,2019-02-01,0,Bear Lake
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-02-01,3,Glacier Basin Campground
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-02-01,2,Emerald Lake Trail
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-02-02,1,Emerald Lake Trail
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-02-02,6,Glacier Basin Campground
sg:4a101b32337b489e8fd0c61572c1c970,2019-02-02,0,Upper Beaver Meadows
sg:560ab62c4c534c1286325ae6fa7b0310,2019-02-02,1,Bear Lake
sg:560ab62c4c534c1286325ae6fa7b0310,2019-02-03,2,Bear Lake
sg:4a101b32337b489e8fd0c61572c1c970,2019-02-03,0,Upper Beaver Meadows
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-02-03,6,Glacier Basin Campground
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-02-03,1,Emerald Lake Trail
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-02-04,1,Emerald Lake Trail
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-02-04,5,Glacier Basin Campground
sg:c0a5d4ae7a88442e99008a4177f73984,2019-02-04,0,Hollowell Park Trailhead
sg:560ab62c4c534c1286325ae6fa7b0310,2019-02-04,1,Bear Lake
sg:560ab62c4c534c1286325ae6fa7b0310,2019-02-05,1,Bear Lake
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-02-05,1,Emerald Lake Trail
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-02-05,3,Glacier Basin Campground
sg:c0a5d4ae7a88442e99008a4177f73984,2019-02-05,0,Hollowell Park Trailhead
sg:c0a5d4ae7a88442e99008a4177f73984,2019-02-06,0,Hollowell Park Trailhead
sg:560ab62c4c534c1286325ae6fa7b0310,2019-02-06,0,Bear Lake
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-02-06,3,Emerald Lake Trail
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-02-06,2,Glacier Basin Campground
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-02-07,3,Glacier Basin Campground
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-02-07,2,Emerald Lake Trail
sg:c0a5d4ae7a88442e99008a4177f73984,2019-02-07,0,Hollowell Park Trailhead
sg:560ab62c4c534c1286325ae6fa7b0310,2019-02-07,0,Bear Lake
sg:560ab62c4c534c1286325ae6fa7b0310,2019-02-08,0,Bear Lake
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-02-08,5,Emerald Lake Trail
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-02-08,8,Glacier Basin Campground
sg:c0a5d4ae7a88442e99008a4177f73984,2019-02-08,0,Hollowell Park Trailhead
sg:c0a5d4ae7a88442e99008a4177f73984,2019-02-09,1,Hollowell Park Trailhead
sg:560ab62c4c534c1286325ae6fa7b0310,2019-02-09,2,Bear Lake
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-02-09,3,Emerald Lake Trail
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-02-09,8,Glacier Basin Campground
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-02-10,3,Glacier Basin Campground
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-02-10,4,Emerald Lake Trail
sg:c0a5d4ae7a88442e99008a4177f73984,2019-02-10,0,Hollowell Park Trailhead
sg:560ab62c4c534c1286325ae6fa7b0310,2019-02-10,0,Bear Lake
sg:560ab62c4c534c1286325ae6fa7b0310,2019-02-11,4,Bear Lake
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-02-11,4,Glacier Basin Campground
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-02-11,1,Emerald Lake Trail
sg:c0a5d4ae7a88442e99008a4177f73984,2019-02-11,1,Hollowell Park Trailhead
sg:c0a5d4ae7a88442e99008a4177f73984,2019-02-12,1,Hollowell Park Trailhead
sg:560ab62c4c534c1286325ae6fa7b0310,2019-02-12,0,Bear Lake
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-02-12,1,Emerald Lake Trail
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-02-12,0,Glacier Basin Campground
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-02-13,4,Glacier Basin Campground
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-02-13,3,Emerald Lake Trail
