measure_date,hour,visits,devices
2018-12-31,0,0,16984419
2018-12-31,1,0,16984419
2018-12-31,2,0,16984419
2018-12-31,3,1,16984419
2018-12-31,4,0,16984419
2018-12-31,5,0,16984419
2018-12-31,6,0,16984419
2018-12-31,7,0,16984419
2018-12-31,8,0,16984419
2018-12-31,9,0,16984419
2018-12-31,10,2,16984419
2018-12-31,11,2,16984419
2018-12-31,12,2,16984419
2018-12-31,13,1,16984419
2018-12-31,14,0,16984419
2018-12-31,15,0,16984419
2018-12-31,16,0,16984419
2018-12-31,17,0,16984419
2018-12-31,18,0,16984419
2018-12-31,19,0,16984419
2018-12-31,20,0,16984419
2018-12-31,21,0,16984419
2018-12-31,22,0,16984419
2018-12-31,23,0,16984419
2019-01-01,0,0,17285950
2019-01-01,1,0,17285950
2019-01-01,2,0,17285950
2019-01-01,3,0,17285950
2019-01-01,4,0,17285950
2019-01-01,5,0,17285950
2019-01-01,6,0,17285950
2019-01-01,7,1,17285950
2019-01-01,8,0,17285950
2019-01-01,9,0,17285950
2019-01-01,10,0,17285950
2019-01-01,11,2,17285950
2019-01-01,12,0,17285950
2019-01-01,13,3,17285950
2019-01-01,14,0,17285950
2019-01-01,15,1,17285950
2019-01-01,16,1,17285950
2019-01-01,17,0,17285950
2019-01-01,18,0,17285950
2019-01-01,19,0,17285950
2019-01-01,20,0,17285950
2019-01-01,21,0,17285950
2019-01-01,22,0,17285950
2019-01-01,23,0,17285950
2019-01-02,0,0,17904316
2019-01-02,1,0,17904316
2019-01-02,2,0,17904316
2019-01-02,3,0,17904316
2019-01-02,4,0,17904316
2019-01-02,5,0,17904316
2019-01-02,6,0,17904316
2019-01-02,7,0,17904316
2019-01-02,8,0,17904316
2019-01-02,9,1,17904316
2019-01-02,10,0,17904316
2019-01-02,11,1,17904316
2019-01-02,12,4,17904316
2019-01-02,13,0,17904316
2019-01-02,14,0,17904316
2019-01-02,15,2,17904316
2019-01-02,16,0,17904316
2019-01-02,17,0,17904316
2019-01-02,18,0,17904316
2019-01-02,19,0,17904316
2019-01-02,20,0,17904316
2019-01-02,21,0,17904316
2019-01-02,22,0,17904316
2019-01-02,23,0,17904316
2019-01-03,0,0,17756801
2019-01-03,1,0,17756801
2019-01-03,2,0,17756801
2019-01-03,3,0,17756801
2019-01-03,4,0,17756801
2019-01-03,5,0,17756801
2019-01-03,6,0,17756801
2019-01-03,7,0,17756801
2019-01-03,8,0,17756801
2019-01-03,9,0,17756801
2019-01-03,10,0,17756801
2019-01-03,11,0,17756801
2019-01-03,12,1,17756801
2019-01-03,13,1,17756801
2019-01-03,14,0,17756801
2019-01-03,15,1,17756801
2019-01-03,16,0,17756801
2019-01-03,17,0,17756801
2019-01-03,18,0,17756801
2019-01-03,19,0,17756801
2019-01-03,20,0,17756801
2019-01-03,21,0,17756801
2019-01-03,22,0,17756801
2019-01-03,23,0,17756801
2019-01-04,0,0,17849368
2019-01-04,1,0,17849368
2019-01-04,2,0,17849368
2019-01-04,3,0,17849368
2019-01-04,4,0,17849368
2019-01-04,5,0,17849368
2019-01-04,6,0,17849368
2019-01-04,7,0,17849368
2019-01-04,8,0,17849368
2019-01-04,9,0,17849368
2019-01-04,10,0,17849368
2019-01-04,11,2,17849368
2019-01-04,12,0,17849368
2019-01-04,13,0,17849368
2019-01-04,14,1,17849368
2019-01-04,15,3,17849368
2019-01-04,16,0,17849368
2019-01-04,17,0,17849368
2019-01-04,18,0,17849368
2019-01-04,19,0,17849368
2019-01-04,20,0,17849368
2019-01-04,21,0,17849368
2019-01-04,22,0,17849368
2019-01-04,23,0,17849368
2019-01-05,0,0,17331201
2019-01-05,1,0,17331201
2019-01-05,2,0,17331201
2019-01-05,3,0,17331201
2019-01-05,4,0,17331201
2019-01-05,5,0,17331201
2019-01-05,6,0,17331201
2019-01-05,7,0,17331201
2019-01-05,8,0,17331201
2019-01-05,9,0,17331201
2019-01-05,10,0,17331201
2019-01-05,11,2,17331201
2019-01-05,12,0,17331201
2019-01-05,13,0,17331201
2019-01-05,14,1,17331201
2019-01-05,15,0,17331201
2019-01-05,16,0,17331201
2019-01-05,17,0,17331201
2019-01-05,18,0,17331201
2019-01-05,19,0,17331201
2019-01-05,20,0,17331201
2019-01-05,21,0,17331201
2019-01-05,22,0,17331201
2019-01-05,23,0,17331201
2019-01-06,0,0,17648633
2019-01-06,1,0,17648633
2019-01-06,2,0,17648633
2019-01-06,3,0,17648633
2019-01-06,4,0,17648633
2019-01-06,5,0,17648633
2019-01-06,6,0,17648633
2019-01-06,7,0,17648633
2019-01-06,8,0,17648633
2019-01-06,9,0,17648633
2019-01-06,10,0,17648633
2019-01-06,11,0,17648633
2019-01-06,12,1,17648633
2019-01-06,13,2,17648633
2019-01-06,14,2,17648633
2019-01-06,15,0,17648633
2019-01-06,16,1,17648633
2019-01-06,17,0,17648633
2019-01-06,18,0,17648633
2019-01-06,19,0,17648633
2019-01-06,20,0,17648633
2019-01-06,21,0,17648633
2019-01-06,22,0,17648633
2019-01-06,23,0,17648633
2019-01-07,0,0,17934334
2019-01-07,1,0,17934334
2019-01-07,2,0,17934334
2019-01-07,3,0,17934334
2019-01-07,4,0,17934334
2019-01-07,5,0,17934334
2019-01-07,6,0,17934334
2019-01-07,7,0,17934334
2019-01-07,8,0,17934334
2019-01-07,9,0,17934334
2019-01-07,10,0,17934334
2019-01-07,11,0,17934334
2019-01-07,12,0,17934334
2019-01-07,13,0,17934334
2019-01-07,14,0,17934334
2019-01-07,15,0,17934334
2019-01-07,16,0,17934334
2019-01-07,17,0,17934334
2019-01-07,18,0,17934334
2019-01-07,19,0,17934334
2019-01-07,20,0,17934334
2019-01-07,21,0,17934334
2019-01-07,22,0,17934334
2019-01-07,23,0,17934334
2019-01-08,0,0,18341970
2019-01-08,1,0,18341970
2019-01-08,2,0,18341970
2019-01-08,3,0,18341970
2019-01-08,4,0,18341970
2019-01-08,5,0,18341970
2019-01-08,6,1,18341970
2019-01-08,7,0,18341970
2019-01-08,8,0,18341970
2019-01-08,9,1,18341970
2019-01-08,10,0,18341970
2019-01-08,11,0,18341970
2019-01-08,12,0,18341970
2019-01-08,13,0,18341970
2019-01-08,14,1,18341970
2019-01-08,15,3,18341970
2019-01-08,16,0,18341970
2019-01-08,17,1,18341970
2019-01-08,18,0,18341970
2019-01-08,19,0,18341970
2019-01-08,20,0,18341970
2019-01-08,21,0,18341970
2019-01-08,22,0,18341970
2019-01-08,23,0,18341970
2019-01-09,0,0,18866915
2019-01-09,1,0,18866915
2019-01-09,2,0,18866915
2019-01-09,3,0,18866915
2019-01-09,4,0,18866915
2019-01-09,5,1,18866915
2019-01-09,6,0,18866915
2019-01-09,7,0,18866915
2019-01-09,8,0,18866915
2019-01-09,9,3,18866915
2019-01-09,10,0,18866915
2019-01-09,11,2,18866915
2019-01-09,12,2,18866915
2019-01-09,13,0,18866915
2019-01-09,14,0,18866915
2019-01-09,15,0,18866915
2019-01-09,16,0,18866915
2019-01-09,17,1,18866915
2019-01-09,18,0,18866915
2019-01-09,19,0,18866915
2019-01-09,20,0,18866915
