year,month,safegraph_monthly_visits,rmnp_monthly_visits,peak_season_dummy
2017,January,90,95602,0
2017,February,92,98832,0
2017,March,202,145110,0
2017,April,136,158360,0
2017,May,342,263222,1
2017,June,612,741247,1
2017,July,790,885478,1
2017,August,664,782625,1
2017,September,577,681160,1
2017,October,429,332526,1
2017,November,139,140223,0
2017,December,149,112830,0
2018,January,121,111422,0
2018,February,126,84245,0
2018,March,275,156434,0
2018,April,313,151975,0
2018,May,548,305993,1
2018,June,888,720822,1
2018,July,1297,931929,1
2018,August,955,798306,1
2018,September,885,784480,1
2018,October,590,312757,1
2018,November,328,125349,0
2018,December,265,106781,0
2019,January ,153,118152,0
2019,February,246,99873,0
2019,March,602,146414,0
2019,April,586,160259,0
2019,May,931,280351,1
2019,June,1618,698224,1
2019,July,2076,973992,1
2019,August,1597,830039,1
2019,September,1183,752320,1
2019,October,855,374003,1
2019,November,374,123376,0
2019,December,381,113050,0
2020,January,440,126866,0
2020,February,339,110667,0
2020,March,377,97690,0
2020,April,18,0,0
2020,May,81,63051,1
2020,June,1038,491355,1
2020,July,1629,723478,1
2020,August,1440,580368,1
2020,September,937,500019,1
