date,visits,policy,day,month,monday,tuesday,wednesday,thursday,friday,saturday,june ,july ,august,september
2019-06-04,47,0,Tuesday,June,0,1,0,0,0,0,1,0,0,0
2019-06-05,41,0,Wednesday,June,0,0,1,0,0,0,1,0,0,0
2019-06-06,54,0,Thursday,June,0,0,0,1,0,0,1,0,0,0
2019-06-07,42,0,Friday,June,0,0,0,0,1,0,1,0,0,0
2019-06-08,37,0,Saturday,June,0,0,0,0,0,1,1,0,0,0
2019-06-09,49,0,Sunday,June,0,0,0,0,0,0,1,0,0,0
2019-06-10,50,0,Monday,June,1,0,0,0,0,0,1,0,0,0
2019-06-11,58,0,Tuesday,June,0,1,0,0,0,0,1,0,0,0
2019-06-12,48,0,Wednesday,June,0,0,1,0,0,0,1,0,0,0
2019-06-13,40,0,Thursday,June,0,0,0,1,0,0,1,0,0,0
2019-06-14,67,0,Friday,June,0,0,0,0,1,0,1,0,0,0
2019-06-15,59,0,Saturday,June,0,0,0,0,0,1,1,0,0,0
2019-06-16,71,0,Sunday,June,0,0,0,0,0,0,1,0,0,0
2019-06-17,48,0,Monday,June,1,0,0,0,0,0,1,0,0,0
2019-06-18,68,0,Tuesday,June,0,1,0,0,0,0,1,0,0,0
2019-06-19,66,0,Wednesday,June,0,0,1,0,0,0,1,0,0,0
2019-06-20,52,0,Thursday,June,0,0,0,1,0,0,1,0,0,0
2019-06-21,61,0,Friday,June,0,0,0,0,1,0,1,0,0,0
2019-06-22,52,0,Saturday,June,0,0,0,0,0,1,1,0,0,0
2019-06-23,72,0,Sunday,June,0,0,0,0,0,0,1,0,0,0
2019-06-24,63,0,Monday,June,1,0,0,0,0,0,1,0,0,0
2019-06-25,50,0,Tuesday,June,0,1,0,0,0,0,1,0,0,0
2019-06-26,45,0,Wednesday,June,0,0,1,0,0,0,1,0,0,0
2019-06-27,55,0,Thursday,June,0,0,0,1,0,0,1,0,0,0
2019-06-28,47,0,Friday,June,0,0,0,0,1,0,1,0,0,0
2019-06-29,54,0,Saturday,June,0,0,0,0,0,1,1,0,0,0
2019-06-30,71,0,Sunday,June,0,0,0,0,0,0,1,0,0,0
2019-07-01,74,0,Monday,July,1,0,0,0,0,0,0,1,0,0
2019-07-02,85,0,Tuesday,July,0,1,0,0,0,0,0,1,0,0
2019-07-03,73,0,Wednesday,July,0,0,1,0,0,0,0,1,0,0
2019-07-04,85,0,Thursday,July,0,0,0,1,0,0,0,1,0,0
2019-07-05,61,0,Friday,July,0,0,0,0,1,0,0,1,0,0
2019-07-06,74,0,Saturday,July,0,0,0,0,0,1,0,1,0,0
2019-07-07,62,0,Sunday,July,0,0,0,0,0,0,0,1,0,0
2019-07-08,83,0,Monday,July,1,0,0,0,0,0,0,1,0,0
2019-07-09,15,0,Tuesday,July,0,1,0,0,0,0,0,1,0,0
2019-07-10,57,0,Wednesday,July,0,0,1,0,0,0,0,1,0,0
2019-07-11,48,0,Thursday,July,0,0,0,1,0,0,0,1,0,0
2019-07-12,37,0,Friday,July,0,0,0,0,1,0,0,1,0,0
2019-07-13,51,0,Saturday,July,0,0,0,0,0,1,0,1,0,0
2019-07-14,58,0,Sunday,July,0,0,0,0,0,0,0,1,0,0
2019-07-15,90,0,Monday,July,1,0,0,0,0,0,0,1,0,0
2019-07-16,72,0,Tuesday,July,0,1,0,0,0,0,0,1,0,0
2019-07-17,71,0,Wednesday,July,0,0,1,0,0,0,0,1,0,0
2019-07-18,62,0,Thursday,July,0,0,0,1,0,0,0,1,0,0
2019-07-19,86,0,Friday,July,0,0,0,0,1,0,0,1,0,0
2019-07-20,70,0,Saturday,July,0,0,0,0,0,1,0,1,0,0
2019-07-21,77,0,Sunday,July,0,0,0,0,0,0,0,1,0,0
2019-07-22,107,0,Monday,July,1,0,0,0,0,0,0,1,0,0
2019-07-23,59,0,Tuesday,July,0,1,0,0,0,0,0,1,0,0
2019-07-24,63,0,Wednesday,July,0,0,1,0,0,0,0,1,0,0
2019-07-25,68,0,Thursday,July,0,0,0,1,0,0,0,1,0,0
2019-07-26,49,0,Friday,July,0,0,0,0,1,0,0,1,0,0
2019-07-27,52,0,Saturday,July,0,0,0,0,0,1,0,1,0,0
2019-07-28,77,0,Sunday,July,0,0,0,0,0,0,0,1,0,0
2019-07-29,64,0,Monday,July,1,0,0,0,0,0,0,1,0,0
2019-07-30,73,0,Tuesday,July,0,1,0,0,0,0,0,1,0,0
2019-07-31,73,0,Wednesday,July,0,0,1,0,0,0,0,1,0,0
2019-08-01,71,0,Thursday,August,0,0,0,1,0,0,0,0,1,0
2019-08-02,79,0,Friday,August,0,0,0,0,1,0,0,0,1,0
2019-08-03,75,0,Saturday,August,0,0,0,0,0,1,0,0,1,0
2019-08-04,72,0,Sunday,August,0,0,0,0,0,0,0,0,1,0
2019-08-05,89,0,Monday,August,1,0,0,0,0,0,0,0,1,0
2019-08-06,69,0,Tuesday,August,0,1,0,0,0,0,0,0,1,0
2019-08-07,75,0,Wednesday,August,0,0,1,0,0,0,0,0,1,0
2019-08-08,58,0,Thursday,August,0,0,0,1,0,0,0,0,1,0
2019-08-09,57,0,Friday,August,0,0,0,0,1,0,0,0,1,0
2019-08-10,63,0,Saturday,August,0,0,0,0,0,1,0,0,1,0
2019-08-11,58,0,Sunday,August,0,0,0,0,0,0,0,0,1,0
2019-08-12,65,0,Monday,August,1,0,0,0,0,0,0,0,1,0
2019-08-13,53,0,Tuesday,August,0,1,0,0,0,0,0,0,1,0
2019-08-14,52,0,Wednesday,August,0,0,1,0,0,0,0,0,1,0
2019-08-15,40,0,Thursday,August,0,0,0,1,0,0,0,0,1,0
2019-08-16,38,0,Friday,August,0,0,0,0,1,0,0,0,1,0
2019-08-17,48,0,Saturday,August,0,0,0,0,0,1,0,0,1,0
2019-08-18,31,0,Sunday,August,0,0,0,0,0,0,0,0,1,0
2019-08-19,44,0,Monday,August,1,0,0,0,0,0,0,0,1,0
2019-08-20,29,0,Tuesday,August,0,1,0,0,0,0,0,0,1,0
2019-08-21,27,0,Wednesday,August,0,0,1,0,0,0,0,0,1,0
2019-08-22,35,0,Thursday,August,0,0,0,1,0,0,0,0,1,0
2019-08-23,40,0,Friday,August,0,0,0,0,1,0,0,0,1,0
2019-08-24,48,0,Saturday,August,0,0,0,0,0,1,0,0,1,0
2019-08-25,43,0,Sunday,August,0,0,0,0,0,0,0,0,1,0
2019-08-26,39,0,Monday,August,1,0,0,0,0,0,0,0,1,0
2019-08-27,30,0,Tuesday,August,0,1,0,0,0,0,0,0,1,0
2019-08-28,29,0,Wednesday,August,0,0,1,0,0,0,0,0,1,0
2019-08-29,34,0,Thursday,August,0,0,0,1,0,0,0,0,1,0
2019-08-30,49,0,Friday,August,0,0,0,0,1,0,0,0,1,0
2019-08-31,57,0,Saturday,August,0,0,0,0,0,1,0,0,1,0
2019-09-01,56,0,Sunday,September,0,0,0,0,0,0,0,0,0,1
2019-09-02,30,0,Monday,September,1,0,0,0,0,0,0,0,0,1
2019-09-03,35,0,Tuesday,September,0,1,0,0,0,0,0,0,0,1
